die Arbeitsbedingungen (Pl.)	uslovi rada
der Betriebsrat, "-e	sindikalni savet, radnički savet
die Betriebsversammlung, -en	skupština zaposlenih
das Arbeitsmodell, -e	model rada
die Gleitzeit, -en	klizno radno vreme
die Heimarbeit (nur Sg.)	rad od kuće
das Großraumbüro, -s	otvoreni kancelarijski prostor
die Sozialversicherung, -en	socijalno osiguranje
die Arbeitslosigkeit (nur Sg.)	nezaposlenost
die Rufbereitschaft, -en	dežurstvo, pripremi
die Urlaubsregelung, -en	pravilnik o godišnjem odmoru
das Meeting, -s	sastanak
der Arbeitsvertrag, "-e	ugovor o radu
der Tarifvertrag, "-e	kolektivni ugovor
das Outsourcing (nur Sg.)	eksternalizacija poslova
die Selbstständigkeit (nur Sg.)	samostalnost, samozapošljavanje
das Freelancing (nur Sg.)	freelancing, slobodnjački rad
die Soft Skills (Pl.)	meke veštine
die Führungsqualität, -en	liderska kvaliteta
die Zuverlässigkeit (nur Sg.)	pouzdanost
die Pünktlichkeit (nur Sg.)	tačnost
das Organisationstalent, -e	organizacioni talenat
die Fremdsprache, -n	strani jezik
die Kreativität (nur Sg.)	kreativnost
die Eigeninitiative, -n	lična inicijativa
die Lernfähigkeit (nur Sg.)	sposobnost učenja
die Rhetorik (nur Sg.)	retorika
die Teamfähigkeit (nur Sg.)	sposobnost timskog rada
die Konfliktfähigkeit (nur Sg.)	sposobnost rešavanja sukoba
die Karrieremöglichkeit, -en	mogućnost za karijeru
die Weiterbildung, -en	usavršavanje
die Abteilung, -en	odeljenje, sektor
die Geschäftsführung, -en	upravljanje firmom, menadžment
die Personalführung (nur Sg.)	upravljanje kadrovima
die Umschulung, -en	prekvalifikacija
der Jobwechsel, -	promena posla
die Unzufriedenheit (nur Sg.)	nezadovoljstvo
