das Surfen (nur Sg.)	surfovanje (internetom)
die Erreichbarkeit (nur Sg.)	dostupnost, dosegnutost
der Datenschutz (nur Sg.)	zaštita podataka
das Onlinebanking (nur Sg.)	internet bankarstvo
die Online-Telefonie (nur Sg.)	internet telefonija
der Video-Chat, -s	video razgovor
das Internet der Dinge (nur Sg.)	internet stvari (IoT)
die Social-Media-Plattform, -en	platforma društvenih mreža
die Internetgeschwindigkeit, -en	brzina interneta
die Echtzeitübertragung, -en	prenos u realnom vremenu
die Suchmaschine, -n	pretraživač
der Wettbewerb, -e	takmičenje, konkurencija
die persönlichen Daten (Pl.)	lični podaci
die Werbung, -en	reklama, oglašavanje
die Digitalisierung, -en	digitalizacija
das Geschäftsmodell, -e	poslovni model
die Vernetzung, -en	umrežavanje
die künstliche Intelligenz (nur Sg.)	veštačka inteligencija
das e-Health (nur Sg.)	elektronsko zdravstvo
das e-Government (nur Sg.)	elektronska uprava
die Smart City, -s	pametni grad
die Bildungschancen (Pl.)	obrazovne mogućnosti
das E-Book, -s	elektronska knjiga
die digitale Gefahr, -en	digitalna opasnost
die Cloud, -s	oblak, cloud
die Sharing Economy (nur Sg.)	ekonomija deljenja
die digitale Wahl, -en	digitalno glasanje
