die Natur (nur Sg.)	priroda
die Landwirtschaft, -en	poljoprivreda
die Nachhaltigkeit (nur Sg.)	održivost
die Müllentsorgung, -en	odlaganje otpada
das Lebensmittel, -	namirnica, prehrambeni proizvod
das Arzneimittel, -	lek, farmaceutski proizvod
der Regenwald, "-er	prašuma, kišna šuma
das Umweltbewusstsein (nur Sg.)	svest o životnoj sredini
der Klimawandel (nur Sg.)	klimatske promene
die Erderwärmung (nur Sg.)	globalno zagrevanje
die Meeresverschmutzung, -en	zagađenje mora
der Plastikmüll (nur Sg.)	plastični otpad
die Luftverschmutzung, -en	zagađenje vazduha
der Schadstoff, -e	štetna materija, zagađivač
der Waldbrand, "-e	šumski požar
das Chemikalie, -n	hemikalija
der Radioaktivstoff, -e	radioaktivna materija
das Pestizid, -e	pesticid
der Dünger, -	đubrivo
die Lebensmittelverschwendung (nur Sg.)	rasipanje hrane
das Abgas, -e	izduvni gas
die Fleischproduktion, -en	proizvodnja mesa
der Atommüll (nur Sg.)	nuklearni otpad
die Wüstenbildung (nur Sg.)	dezertifikacija, stvaranje pustinja
die Umweltschutzmaßnahme, -n	mera zaštite životne sredine
die Sparmaßnahme, -n	mera štednje
die Wärmedämmung, -en	termička izolacija
der Meeresschutz (nur Sg.)	zaštita mora
der Klimaschutz (nur Sg.)	zaštita klime
der Biokraftstoff, -e	biogorivo
die Bionahrung (nur Sg.)	organska hrana
die vegane Ernährung (nur Sg.)	veganska ishrana
die vegetarische Ernährung (nur Sg.)	vegetarijanska ishrana
